subtitle,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking
Villaverde,50.0,2,1.0,106000,2120,multi-storey building,False,False,False,True,False
Villaverde,114.0,4,2.0,229000,2009,multi-storey building,False,False,True,True,False
San Andrés,81.0,3,2.0,155000,1914,multi-storey building,False,False,True,True,True
Butarque,91.0,2,2.0,228208,2508,multi-storey building,False,False,True,True,True
Butarque,95.0,3,1.0,100000,1053,multi-storey building,True,False,False,True,False
Villaverde,80.0,3,1.0,140000,1750,multi-storey building,False,False,False,True,False
San Andrés,60.0,2,1.0,105000,1750,multi-storey building,False,False,False,False,False
Los Ángeles,80.0,3,1.0,165000,2062,multi-storey building,False,False,True,True,False
San Cristóbal,60.0,2,1.0,73000,1217,multi-storey building,False,False,True,True,False
San Andrés,50.0,1,1.0,159000,3180,multi-storey building,False,False,True,True,True
Villaverde,136.0,3,1.0,135990,1000,multi-storey building,False,False,False,True,False
Los Ángeles,96.0,2,2.0,210000,2188,multi-storey building,False,False,True,True,True
Los Rosales,71.0,2,2.0,198000,2789,multi-storey building,False,False,True,True,False
Los Rosales,74.0,2,1.0,139900,1891,multi-storey building,False,False,False,True,False
San Cristóbal,65.0,2,1.0,110000,1692,multi-storey building,False,False,False,True,False
Villaverde,93.0,3,1.0,160000,1720,multi-storey building,True,False,True,True,False
San Andrés,75.0,3,1.0,103000,1373,multi-storey building,False,False,False,True,False
Los Rosales,63.0,3,1.0,100000,1587,multi-storey building,True,False,False,False,False
Villaverde,65.0,3,1.0,90000,1385,multi-storey building,False,False,False,True,False
San Andrés,115.0,3,1.0,154900,1347,duplex,False,False,False,True,False
San Cristóbal,63.0,2,1.0,82260,1306,multi-storey building,False,False,True,True,False
Villaverde,72.0,3,1.0,139400,1936,multi-storey building,False,False,True,True,False
San Andrés,100.0,2,2.0,154900,1549,multi-storey building,False,False,True,True,True
San Andrés,90.0,3,2.0,155000,1722,multi-storey building,False,False,True,True,True
San Cristóbal,66.0,3,1.0,88000,1333,multi-storey building,False,False,False,True,False
Los Ángeles,102.0,3,2.0,225000,2206,multi-storey building,False,False,True,True,False
Villaverde,105.0,2,1.0,189000,1800,multi-storey building,False,False,True,True,True
Los Rosales,95.0,4,1.0,138000,1453,multi-storey building,False,False,False,True,False
Los Ángeles,120.0,3,1.0,195000,1625,multi-storey building,False,False,True,True,False
Butarque,90.0,3,2.0,222000,2467,multi-storey building,False,False,True,True,True
Los Rosales,64.0,3,1.0,80500,1258,multi-storey building,True,False,False,True,False
Los Ángeles,80.0,3,1.0,182000,2275,multi-storey building,False,False,True,True,False
San Andrés,120.0,3,2.0,295000,2458,multi-storey building,False,False,False,True,True
Los Ángeles,82.0,2,2.0,270000,3293,multi-storey building,False,False,True,True,True
Butarque,81.0,3,1.0,116100,1433,multi-storey building,False,False,False,True,False
Los Rosales,103.0,3,2.0,250000,2427,multi-storey building,False,False,True,True,True
Villaverde,63.0,3,1.0,79900,1268,multi-storey building,False,False,False,True,False
San Cristóbal,70.0,3,1.0,99000,1414,multi-storey building,False,False,True,True,False
San Cristóbal,60.0,3,1.0,74550,1242,multi-storey building,True,False,False,False,False
Villaverde,45.0,2,1.0,105000,2333,multi-storey building,False,False,False,True,False
Los Rosales,95.0,3,1.0,130000,1368,multi-storey building,False,False,False,True,False
Los Rosales,70.0,3,1.0,120000,1714,multi-storey building,True,False,False,True,False
Los Rosales,71.0,3,1.0,149000,2099,multi-storey building,False,False,True,True,False
Los Rosales,70.0,3,1.0,135000,1929,multi-storey building,True,False,True,True,False
Los Rosales,98.0,4,2.0,230000,2347,multi-storey building,False,False,True,True,False
Los Ángeles,55.0,3,1.0,91000,1655,multi-storey building,False,False,False,True,False
Los Rosales,115.0,4,1.0,184900,1608,multi-storey building,False,False,False,True,False
San Andrés,78.0,3,1.0,127000,1628,multi-storey building,False,False,False,False,False
San Cristóbal,68.0,3,1.0,83900,1234,multi-storey building,False,False,False,True,False
San Andrés,120.0,3,1.0,180000,1500,multi-storey building,False,False,False,True,True
San Cristóbal,64.0,3,1.0,76000,1188,multi-storey building,True,False,False,True,False
Los Ángeles,92.0,4,1.0,163000,1772,multi-storey building,False,False,True,True,False
Butarque,154.0,3,2.0,280000,1818,multi-storey building,False,False,True,True,True
Los Rosales,105.0,3,2.0,180000,1714,multi-storey building,False,False,False,True,False
Villaverde,70.0,2,1.0,128000,1829,multi-storey building,False,False,False,True,False
Villaverde,93.0,3,1.0,166200,1787,multi-storey building,False,False,True,True,False
Los Rosales,53.0,3,1.0,114300,2157,multi-storey building,False,False,False,False,False
Villaverde,86.0,3,1.0,129000,1500,multi-storey building,False,False,True,False,False
Villaverde,75.0,3,2.0,132000,1760,multi-storey building,False,False,False,True,False
Villaverde,85.0,3,1.0,135000,1588,multi-storey building,False,False,False,True,False
Villaverde,65.0,2,1.0,99000,1523,multi-storey building,False,False,False,True,False
Los Rosales,53.0,3,1.0,114300,2157,multi-storey building,False,False,False,False,False
San Cristóbal,68.0,3,1.0,88000,1294,multi-storey building,False,False,False,True,False
Los Ángeles,75.0,3,1.0,110000,1467,multi-storey building,False,False,False,False,False
San Andrés,83.0,2,1.0,146000,1759,multi-storey building,False,False,True,True,False
San Andrés,95.0,3,1.0,112000,1179,multi-storey building,True,False,False,False,False
San Cristóbal,30.0,1,1.0,59000,1967,multi-storey building,False,False,False,True,False
Butarque,53.0,1,1.0,146000,2755,multi-storey building,False,False,True,True,True
Butarque,125.0,3,3.0,275000,2200,penthouse,False,False,True,True,False
Villaverde,153.0,4,2.0,178000,1163,multi-storey building,False,False,True,True,True
Villaverde,86.0,3,1.0,129000,1500,multi-storey building,False,False,True,False,False
